pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
1,57.0,9770.3011,22.0,0.8484,9861.7337,26.0,5.0638,-2275.6798940331814,5192.133763189965,13,123.98154425507883,0.04860502038549142,0.2269840501226431,-0.464182983296184,0.4873603593011457
2,57.0,9787.6874,22.0,0.8259,9891.7249,14.0,6.1248,-1566.1194224462881,6076.307569594524,9,120.46542485865332,0.2820124634748933,0.3209841743264125,-0.10177058381583187,0.8021143527088828
3,57.0,9834.1851,26.0,4.9913,9887.0468,14.0,6.2227,-3374.9697000726983,6059.276207752566,10,131.9631059061697,0.15311124433386777,0.1629937735044952,0.006019896149482972,0.3872748966933889
4,56.0,10034.491,22.0,1.4601,10068.329,14.0,6.0986,-782.0471599612246,5237.346016886335,9,84.51594492479786,0.26892621150178575,0.45550587810951565,-1.1796233492518895,0.590709887621051
5,55.0,10167.468,26.0,2.1979,10145.561,26.0,4.7955,-3037.3715953253536,3677.9993119183223,13,100.678603744923,-0.46610434859593197,0.14397318427720057,-0.8308429127131659,-0.3936993470551968
6,55.0,10195.105,26.0,2.7275,10230.795,26.0,6.1189,-2862.2917526420442,5951.773616012472,14,141.29225268253896,0.21121358699028633,0.199305313105515,-0.09991520349704149,0.6762850194266197
7,54.0,10340.885,26.0,2.1979,10288.944,14.0,4.9201,-2626.9503560343005,5208.181915068447,20,91.31130916882752,-0.12977895178704904,0.18320892409669162,-0.33023792159748916,0.571034596632642
8,54.0,10395.794,26.0,2.1759,10407.037,14.0,6.6161,-1821.197179641323,6261.857399979728,15,48.44628752216523,0.23409938802937574,0.16148877193493902,0.08774843609087171,0.774895710934065
9,54.0,10396.802,22.0,0.8484,10423.743,26.0,3.0713,-2845.9582784227728,5858.043460975597,19,131.14380549831,0.22470429506352424,0.1848837002715121,-0.07998277193164519,0.5895821978153766
10,54.0,10423.027,26.0,2.6924,10347.965,26.0,5.3933,-2775.4197754446354,5367.281318264393,18,121.73251814014488,-0.018260743801843695,0.18023514539696922,-0.3261015837875581,0.20126820136441048
11,54.0,10469.652,26.0,3.8835,10371.263,14.0,4.9296,-6105.711955190789,4289.7663453611185,20,106.89795588318235,-0.2145618398890099,0.08004034670743451,-0.2945973331459331,0.061916024879383164
12,53.0,10486.25,24.0,3.0106,10530.514,28.0,4.1054,-2807.2579228799173,5811.954602577937,17,95.9729214323252,0.14060134987176132,0.18800282649854688,-0.07369315295646815,0.579373918055388
13,53.0,10496.113,22.0,0.836,10660.973,14.0,4.9201,-1557.151172536274,4535.127168597353,16,113.81616861330491,-0.3394920586301172,0.36810404638048416,-1.0367731391715957,0.20302853631817522
14,53.0,10510.01,24.0,3.0133,10535.709,26.0,6.2057,-2009.1595743203482,5039.54028621233,18,141.63011568768846,-0.09956471780211454,0.2642793339193746,-0.5216209565710804,0.5810135942806864
15,53.0,10532.234,26.0,3.9286,10582.16,14.0,6.2227,-2315.5994125255684,6364.8467950397,14,78.82694587320833,0.24702623858998363,0.1498580543573412,0.12931385280758978,0.6945166191962859
16,53.0,10577.139,26.0,3.3014,10627.648,14.0,5.8625,-1968.9821947199869,4240.975304496782,19,124.24512142537135,-0.5537189648744018,0.2495331414656301,-1.041685911512718,-0.27098456007544963
17,53.0,10616.721,26.0,3.2671,10585.141,14.0,4.9538,-2389.152327173953,3058.1155175905906,14,129.64871106160143,-0.9174288008775249,0.20446223519086076,-1.2971371313717162,-0.731615701799981
18,53.0,10672.14,24.0,3.0133,10611.686000000003,26.0,6.1692,-1720.1837824563647,5009.4786017719725,17,72.47062198489412,-0.0988625975825422,0.28123970003334847,-0.7655482912835972,0.5196465457425519
19,52.0,10753.004,26.0,3.9597,10694.251,14.0,5.9639,-3831.1030149413705,3538.5188956108154,14,131.44269694410877,-0.47169163347217574,0.1497425969373321,-0.6972353526653002,-0.1570142078438894
20,52.0,10783.05,26.0,3.111,10784.562,14.0,5.9639,-2606.8683585066333,5215.85114072694,14,76.98480702440185,-0.09788983764483834,0.20580477896630536,-0.29741026405379656,0.5399401682967784
21,52.0,10818.274,26.0,3.9597,10843.858,14.0,5.8625,-3319.006663406467,3680.7117554615447,13,81.43486626188174,-0.5009979188418743,0.16214448189911648,-0.7534722616760547,-0.3265920290794966
22,52.0,10821.66,24.0,3.0133,10849.465,26.0,5.5392,-2009.9708157359973,4799.830969959067,14,145.94253824045808,-0.11045170022872304,0.2281318713807404,-0.7388355488328741,0.24907472718632045
23,52.0,10838.97,20.0,4.8775,10882.809,14.0,5.984,-2419.991550678806,4680.980293767035,14,149.10301371213842,-0.2723471484978328,0.24669861690823136,-0.579858579524733,0.27760700262904137
24,52.0,10881.758,26.0,2.845,10869.536,14.0,5.0823,-3974.458867502165,2426.092096508101,12,88.83800076046971,-0.6989793075197966,0.14881073051266158,-0.904192763519323,-0.41908079737847964
25,52.0,10884.262,26.0,3.9286,10885.333,14.0,6.1807,-3807.0218975890552,4292.48881681753,14,127.54175658787254,-0.29722393703086336,0.15382946548339116,-0.49731457116052147,0.012036704270242884
26,48.0,11638.26,26.0,2.1759,11640.941,14.0,6.2739,-3228.4922747307387,6504.064994671427,11,109.71928464695551,0.2610755302300022,0.14795351118130495,0.1028296053804168,0.6521290249299007
27,48.0,11772.838,19.0,1.6171,11700.239,14.0,6.2694,-2826.9097060789823,6309.979382088367,12,102.70664238369316,0.2655203584148938,0.1808933179439115,0.11026457646207244,0.8817180807228016
28,47.0,11882.844,26.0,2.1979,11863.92,14.0,5.984,-2500.707917709066,7353.480019095391,11,126.51228435843663,0.6482016709508469,0.17290746494655593,0.4757050024667653,1.1404568431639326
29,47.0,11884.083,26.0,2.2227,11991.568,14.0,4.9201,-4549.346046348264,4936.834910020232,10,117.24118786547434,-0.15945377271626548,0.10199265732821289,-0.23011333532983555,0.053706333927527904
30,45.0,12432.273,19.0,1.61,12390.154,14.0,5.0823,-2522.6835897240026,5385.470263929967,14,117.75470939930997,0.014974203680764037,0.2234048736461886,-0.27499322263095016,0.6485940156926427
31,45.0,12532.84,24.0,2.7088,12423.029,12.0,5.932,-1885.213957980055,4312.03867885614,11,131.6158716787586,-0.34095623984310197,0.2571088643386265,-1.062321626520386,0.0815092333525702
32,45.0,12556.996,26.0,2.2786,12433.452,12.0,5.9328,-3847.6336144108427,4034.495450848718,11,111.40891583158322,-0.3033661872207317,0.13835328363342436,-0.5961063324642193,-0.20368611253098282
33,43.0,12909.07,20.0,4.43,13102.057,14.0,6.0827,-1988.2473546989756,4626.808783857237,14,144.03702073873734,-0.32091068705398373,0.2756322224814503,-0.7293478862961038,0.43258251606268516
34,43.0,12910.09,24.0,2.7079,13029.524,14.0,6.0827,-1171.6131206921675,5117.3098008903,14,94.7012224910757,0.006588052063356138,0.3659574939001665,-0.9487151477027109,0.7825068811887131
35,43.0,12937.02,24.0,2.7099,13152.743,14.0,4.9201,-1776.151017997826,4857.994021070871,10,126.97850858389839,-0.11969110949667545,0.23117970675442845,-0.7610085168820664,0.052339722061974
36,43.0,12975.91,25.0,2.8884,13030.921,14.0,6.0787,-2663.9350953858175,6134.9891913027495,12,85.1968511991518,0.20745009071440698,0.18977983567384027,0.011760004510659344,0.5042904625692866
37,43.0,13006.684,26.0,2.9904,13176.888,14.0,5.8625,-2503.0417229577965,3985.759103167267,13,104.82659393060423,-0.4890182810095513,0.19795483114707377,-0.8841647880057593,-0.3429181423692516
