pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
1,57,9879.583,Ti1,1.8730000000000002,9889.035,Fe1,5.033,-1217.2519104113385,3543.1837558460215,16,147.07891777490033,-0.6218915502785967,0.4202609645740958,-1.3351745810524098,-0.173368511131487
2,56,9927.351,Ti1,1.879,9944.207,Fe1,5.012,-1962.7319209067775,4878.644494233386,20,145.9452010202801,0.044097450725376644,0.14651429411850164,-0.19972640650957,0.40644141727511707
4,56,10003.09,Ti1,2.16,9961.256,Na1,3.617,-1885.7067085000158,4461.401982836708,19,113.22586778253869,-0.1414394754068635,0.1734757599009534,-0.358462066101089,0.23953927597762
5,56,10081.39,Fe1,2.424,9980.463,Fe1,5.033,-2899.9399824188586,4618.803151789758,19,109.67955541367509,-0.06512546861259746,0.09642649432820466,-0.214670749016557,0.300536148347337
6,56,10005.66,Ti1,1.067,9987.869,Fe1,2.176,-880.9975755132382,3925.633879740439,10,107.3122872269823,-0.26639217713411406,0.4767429259973705,-1.02173471498642,0.155151981102611
8,56,10011.74,Ti1,2.154,10041.47,Fe1,5.012,-2892.5870273166715,5152.620657739879,19,100.41281362693236,0.12814198146988606,0.10099953862300562,-0.008358900161753,0.54631388557713
9,56,10034.49,Ti1,1.46,10086.24,Fe1,2.949,-2428.150228956515,5057.8015193213,20,100.14926467517162,0.12791318543501667,0.13120059128586184,-0.070536027746472,0.46876989133682795
10,56,10059.9,Ti1,1.43,10068.33,Si1,6.099,-867.0995255468476,4670.681738839822,20,54.61252340642594,-0.11419629900983433,0.26887212082064843,-0.57141556093994,0.933214534893601
12,55,10155.16,Fe1,2.176,10216.31,Fe1,4.7330000000000005,-4663.718638225295,3541.961220509939,19,118.734755163178,-0.27025770078452693,0.06652892842262578,-0.36145970305374897,-0.051108906155476
13,55,10167.47,Fe1,2.198,10193.22,Ni1,4.0889999999999995,-5282.758870371205,4602.210503775218,20,114.68823250907388,-0.0426044777365605,0.056400788478169955,-0.101549795733721,0.14980018670905
16,54,10423.74,Fe1,3.071,10288.94,Si1,4.92,-4504.24509762673,4334.590550185389,26,93.38608889977345,-0.10225295020608971,0.0645342647881507,-0.18222868400843803,0.161458694044852
17,54,10333.18,Fe1,4.593,10313.2,Si1,6.399,-3773.709097075804,5432.522607026696,23,115.66121193522606,0.1576283991586449,0.06408101370545805,0.069309609126776,0.3712636739818429
19,54,10332.33,Fe1,3.635,10353.81,Fe1,5.393,-4145.069381502093,4700.719500260757,26,81.69326327798582,-0.018953859186792443,0.06890932558778042,-0.10416418457844401,0.21802059926493697
20,54,10396.8,Ti1,0.848,10340.89,Fe1,2.198,-4365.744960984635,5118.8209315631475,26,68.33861883510606,0.09142432270761296,0.0751364647660926,-0.0078807538339,0.27595448716709003
21,54,10343.82,Ca1,2.9330000000000003,10371.26,Si1,4.93,-5643.86002379987,4861.785937987514,26,67.85212158198604,0.009631907611836995,0.04975851405109738,-0.048626443279214004,0.209932834406927
22,54,10423.03,Fe1,2.6919999999999997,10347.97,Fe1,5.393,-4951.766133432289,5611.59575274912,26,106.38225774846015,0.16454706496798835,0.05812415292929046,0.100588056278272,0.40261242337517406
23,54,10382.31,Co1,2.8710000000000004,10388.75,Fe1,5.446000000000001,-2390.759460487808,4472.489563091846,25,94.34806685162856,-0.10172189139285824,0.1348084730883841,-0.32308533274797996,0.272946920174128
24,54,10395.8,Fe1,2.176,10469.65,Fe1,3.884,-9864.580837440231,4755.814370467194,26,128.40265321453865,-0.002551079842010582,0.03242830184061146,-0.041412480710944,0.097546789715542
25,54,10460.05,Ti1,2.256,10435.35,Fe1,4.7330000000000005,-2338.0736067510898,4686.020132001458,16,58.25903293650549,0.010481593663836462,0.1442557683782306,-0.11481689396904302,0.42544030394076293
26,53,10486.25,Cr1,3.011,10530.51,Ni1,4.105,-4672.686994957822,5344.400923795524,24,94.94525562049314,0.11995072832968487,0.06996114042725125,0.050926116969564006,0.367800162572799
27,53,10496.11,Ti1,0.836,10535.71,Fe1,6.206,-1988.3873364312929,5666.97976823131,25,51.683604327223215,0.41897540050968446,0.12697524172320693,0.29719337081593605,1.02881646840785
28,53,10510.01,Cr1,3.013,10555.65,Fe1,5.446000000000001,-2458.114556596979,5262.966356091538,23,73.95161113034025,0.20409098972640846,0.11662900782774574,0.05392116376900599,0.6632000546108001
30,53,10552.97,Ti1,2.249,10582.16,Si1,6.223,-1102.3013935134386,4360.029311491542,19,62.42323815550448,-0.27987828107879364,0.2986290638082226,-0.7162723101984821,0.618588515978541
31,53,10577.14,Fe1,3.301,10611.69,Fe1,6.169,-5434.6607382396205,4938.654495348359,27,142.97529767460423,0.024270701907305983,0.05675983326352009,-0.043943169385386,0.248249636859072
32,53,10607.72,Ti1,0.848,10672.14,Cr1,3.013,-1733.5498308200054,4270.12134883294,24,123.13721711243328,-0.0798271246246527,0.23837126666409097,-0.5898139462809731,0.204340480535293
33,52,10616.72,Fe1,3.267,10627.65,Si1,5.8629999999999995,-3110.3453496612856,3733.5489918770636,20,91.18110682644635,-0.32177318907721236,0.11027501608442078,-0.475914514194635,-0.005302877168486
34,52,10677.05,Ti1,0.836,10721.66,Fe1,5.507000000000001,-1075.2764107629573,5357.05564624784,21,132.24128431984127,0.4905405830637028,0.2653994641777999,-0.029091691874942,1.19553906517892
40,52,10783.05,Fe1,3.111,10727.41,Si1,5.984,-4362.621145966495,3828.848309785741,21,141.2718555085382,-0.23202735996621351,0.06508198757090779,-0.33444999776705103,0.029862401663432004
41,52,10732.86,Ti1,0.826,10762.26,Ni1,4.154,-1546.9932564423261,5316.270144744992,20,110.55368753907291,0.33688882710281176,0.19412925971907527,0.10997154354648199,0.9141653880527539
43,52,10774.87,Ti1,0.818,10838.97,Ca1,4.878,-1285.8964109760827,4745.716676026394,20,97.46702306443181,0.044949127198740245,0.2597050265903858,-0.40496040703263797,0.5668824812256479
44,52,10780.69,Fe1,3.237,10843.86,Si1,5.8629999999999995,-2890.919240523172,3184.768311572328,21,147.1647002302327,-0.5561943070575855,0.10966304049193905,-0.7414455991678521,-0.232712133156189
56,46,12190.1,Fe1,3.635,12175.73,Si1,6.619,-4163.067586626621,6037.046438490441,11,129.30317725453722,0.3083356659648155,0.0768403911865987,0.18420198184724598,0.590671474941173
58,45,12340.48,Fe1,2.279,12390.15,Si1,5.082,-3022.6929646661556,3997.4481425141566,12,136.84900024725775,-0.21856357396766218,0.1398696196563915,-0.37867580345193497,0.123496515878748
61,45,12532.84,Cr1,2.7089999999999996,12457.13,Mg1,6.431,-1844.2721566008674,5020.7302621533,15,130.25410087805787,0.09606678934064893,0.1663925672824442,-0.115367891069344,0.6739184221119789
63,44,12600.28,Ti1,1.443,12720.15,Co1,3.53,-1589.0705996716476,5091.35457835742,15,131.63254287200752,0.2628595490429874,0.22962993461834091,-0.12398316491684698,0.807679594158071
64,44,12671.1,Ti1,1.43,12789.45,Fe1,5.01,-1472.1898925795304,4852.3571594690975,15,111.85328254836467,0.015123938338758301,0.20141253674131024,-0.17597258110538103,0.6818731550149489
65,44,12744.91,Ti1,2.488,12679.17,Na1,3.617,-1685.6748193568872,3384.695579795918,14,125.65959402801239,-0.6580997653970135,0.2641048973452195,-1.09784046151863,-0.268050929775507
66,44,12831.44,Ti1,1.43,12807.15,Fe1,3.64,-2799.589344404936,4980.715088569882,11,139.23407653044367,0.10722338368382761,0.13424931414033664,-0.060193982353585994,0.35904899869978
76,43,12975.91,Mn1,2.888,13029.52,Si1,6.082999999999999,-2753.6523763710115,6236.765979314774,21,92.05104032045251,0.4934163652479075,0.09084065361816343,0.39765911185484604,0.9665151883940759
79,43,13006.68,Fe1,2.99,13030.92,Si1,6.079,-3057.3554278306515,4765.421740026774,21,127.85855371742856,-0.01811460117267058,0.10062267694993278,-0.19412964782481,0.356675754090972
80,43,13011.9,Ti1,1.443,13123.41,Al1,3.1430000000000002,-1618.6950245627613,3406.3324812099595,18,110.70073874469685,-0.5634714879535756,0.2808502922765522,-1.17451194408346,-0.28096894621871193
