pairid,used,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,mean_lgLDR,std_lgLDR,min_lgLDR,max_lgLDR
1,,57,9879.583,22,1.8730000000000002,9889.035,26,5.033,-1135.2183214264767,3575.373971595523,15,130.3324427686342,-0.49490988599167496,0.41539241376361447,-1.335174581052411,-0.17336851113148724
2,,56,9927.351,22,1.879,9944.207,26,5.012,-2096.651155914456,4842.290630837777,23,106.14633631855352,0.042723123941505306,0.14604732179044894,-0.3212674757254117,0.4064414172751168
3,*,56,9946.32,24,3.556,9953.471,26,5.446000000000001,-3484.6168828771433,4133.259656126157,21,312.6569021493869,-0.18665834468748538,0.12323263211170568,-0.4245464438984724,0.2756107537895488
4,,56,10003.09,22,2.16,9961.256,11,3.617,-2020.9873389042766,4457.467475662901,21,124.89303782270025,-0.1049808364205342,0.17582612939550696,-0.3584620661010888,0.2395392759776204
5,,56,10081.39,26,2.424,9980.463,26,5.033,-2955.6117549165047,4609.579422622155,23,101.80678399590741,-0.05481862198599477,0.10108256192329748,-0.35735942765577505,0.30053614834733744
6,*,56,10005.66,22,1.067,9987.869,26,2.176,-1045.4081602313402,3926.3985769954384,8,184.8592368679466,-0.17095035277854206,0.4316933635574737,-0.9670207829209758,0.15515198110261064
7,,56,9997.959,22,1.8730000000000002,10077.17,26,2.99,-2427.030968636003,4938.849348499527,11,125.92928036012437,0.16011520441999283,0.1574993294535512,0.005519604646521823,0.484036770074936
8,,56,10011.74,22,2.154,10041.47,26,5.012,-2523.8681218895686,5086.050270301463,23,99.34063613651125,0.13496287760648715,0.12441042650837561,-0.12180220118476942,0.5463138855771298
9,,56,10034.49,22,1.46,10086.24,26,2.949,-2401.457575516892,5068.21845388171,23,108.26002143388169,0.158443949490565,0.14367231663242455,-0.07053602774647155,0.4687698913368282
10,,56,10059.9,22,1.43,10068.33,14,6.099,-862.4087560837188,4678.826505259354,21,62.85394972667838,-0.04583352778907744,0.3133736182712795,-0.5714155609399405,0.9332145348936008
11,*,56,10066.51,22,2.16,10065.05,26,4.835,-1572.0576270495606,3606.6845211234563,12,170.79355281310055,-0.511812652052324,0.2749254439677375,-0.9088783351024344,-0.03324381886552063
12,,55,10155.16,26,2.176,10216.31,26,4.7330000000000005,-4461.531669187537,3579.0791922356602,23,125.00199131422647,-0.2644322267563351,0.07873077448288208,-0.3953193118742139,-0.05110890615547605
13,,55,10167.47,26,2.198,10193.22,28,4.0889999999999995,-4954.834348526785,4586.741622787257,25,116.69983601804257,-0.04435014538238947,0.07054541673261189,-0.2249748908825388,0.1498001867090505
